"local_filename";"year";"estimate";"estimate.side";"confidence"
"%22Pentolaccia%22_game_by_Pietro_Longhi.jpg";1744;-1,27344302128435;-1;6
"%C3%89douard_Manet_-_Le_Vieux_Musicien.jpg";1862;0,909359921629442;1;6
"%C3%89tienne_Jeaurat_001.jpg";1745;-0,743639722869649;-1;6
"1739_JohnSmibert_self_portrait_BermudaGroup_detail_Yale.png.jpg";1739;-0,850905432857657;-1;5,5
"1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg";1796;-0,849521851564209;-1;5,5
"A_miller_by_I.Kramskoy_%281873%2C_Russian_museum%29.jpg";1873;-1,31289281226195;-1;6
"Abel_Grimmer_002.jpg";1607;-0,888102285169522;-1;4,5
"Abraham_Bloemaert_001.jpg";1617;0,0629874899541027;1;5
"Abraham_Bloemaert_003.jpg";1628;-0,691968672616374;-1;5,5
"Abraham_Bosse_001.jpg";1635;-1,15829566765167;-1;6
"Abraham_Hendriksz._van_Beyeren_001.jpg";1650;-0,758007512478048;-1;4
"Abraham_Hendriksz._van_Beyeren_002.jpg";1670;-0,937535667422829;-1;4,66666666666667
"Abraham_Janssens_001.jpg";1609;0,993496107273922;1;5,66666666666667
"Abram_Jefimowitsch_Archipow_001.jpg";1889;0,187675842173651;1;3,66666666666667
"Abram_Jefimowitsch_Archipow_002.jpg";1901;-0,35749080748817;-1;4
"Achenbach%2C_Andreas_-_Westf%C3%A4lische_Wasserm%C3%BChle.jpg";1863;0,93406912952413;1;4,5
"Achille-Jacques_F%C3%A9del_%282%29.jpg";1850;-0,745250614404774;-1;6
"Ad%C3%A9laide_Labille-Guiard_001.jpg";1795;-0,750225548290355;-1;5,5
"Adam_Elsheimer_-_Der_Brand_von_Troja_%28Alte_Pinakothek%29.jpg";1601;-1,25365884235474;-1;3
"Adam_Elsheimer_004.jpg";1599;0,400294340271899;1;5,5
"Adam_Elsheimer_004.png.jpg";1599;0,75185370383577;1;4
"Adam_Elsheimer_005.jpg";1605;-0,707024992471464;-1;5
"Adam_Elsheimer_006.jpg";1600;-0,922330292015283;-1;4,33333333333333
"Adam_Elsheimer_008.jpg";1610;-1,49984779949281;-1;2,5
"Adam_Elsheimer_009.jpg";1602;-0,852192642110108;-1;5,5
"Adam_Elsheimer_011.jpg";1600;-0,742549143079914;-1;6
"Adam_Elsheimer_012.jpg";1600;-1,30877990884067;-1;5
"Adolf_Friedrich_Erdmann_von_Menzel_-_Pariser_Wochentag_-_museum_kunst_palast_D%C3%BCsseldorf.jpg";1869;-0,130855186626899;-1;4,5
"Adolf_Friedrich_Erdmann_von_Menzel_001.jpg";1847;1,46492290561657;1;5
"Adolf_Friedrich_Erdmann_von_Menzel_002.jpg";1832;-1,15609887166332;-1;5,5
"Adolf_Friedrich_Erdmann_von_Menzel_003.jpg";1866;-0,380506377112365;-1;5
"Adolf_Friedrich_Erdmann_von_Menzel_004.jpg";1872;-2,42419467453819;-1;5
"Adolf_Friedrich_Erdmann_von_Menzel_005.jpg";1848;0,803625730870707;1;3,33333333333333
"Adolf_Friedrich_Erdmann_von_Menzel_006.jpg";1848;0,670720286117838;1;6
"Adolf_Friedrich_Erdmann_von_Menzel_007.jpg";1848;1,0043509582561;1;6
"Adolf_Friedrich_Erdmann_von_Menzel_008.jpg";1845;0,384429861057211;1;5
"Adolf_Friedrich_Erdmann_von_Menzel_009.jpg";1878;0,796228064885956;1;2
"Adolf_Friedrich_Erdmann_von_Menzel_010.jpg";1878;-0,674740942223553;-1;4
"Adolf_Friedrich_Erdmann_von_Menzel_011.jpg";1859;1,07214356752939;1;3
"Adolf_Friedrich_Erdmann_von_Menzel_012.jpg";1846;0,119556997616123;1;4,5
"Adolf_Friedrich_Erdmann_von_Menzel_013.jpg";1888;-0,72733623714849;-1;5,5
"Adolf_Friedrich_Erdmann_von_Menzel_014.jpg";1847;0,459552496661732;1;2,33333333333333
"Adolf_Friedrich_Erdmann_von_Menzel_015.jpg";1847;1,25343954312436;1;4
"Adolf_Friedrich_Erdmann_von_Menzel_016.jpg";1858;-0,853748230680332;-1;5,33333333333333
"Adolf_Friedrich_Erdmann_von_Menzel_017.jpg";1858;0,387118956237851;1;3
"Adolf_Friedrich_Erdmann_von_Menzel_018.jpg";1859;0,547420552744573;1;6
"Adolf_Friedrich_Erdmann_von_Menzel_019.jpg";1859;0,810996391906559;1;3,5
"Adolf_Friedrich_Erdmann_von_Menzel_021.jpg";1875;-0,253425825884185;-1;3
"Adolf_Friedrich_Erdmann_von_Menzel_022.jpg";1866;-0,897358001452769;-1;4,33333333333333
