medium;painter;title;url;year;local_filename;year_unambiguous;Observer;SessionID;FlippedLR;Confidence;Estimates;Duration;Painting CenterXY;Painting size
oil on canvas;Andreas Achenbach;Ufer des zugefrorenen Meeres (Winterlandschaft);https://upload.wikimedia.org/wikipedia/commons/2/2e/Andreas_Achenbach_003.jpg;1839;Andreas_Achenbach_003.jpg;1839;KSC94w;;;;;;;
oil on canvas;Andreas Achenbach;Landscape with a River;https://upload.wikimedia.org/wikipedia/commons/5/5c/Andreas_Achenbach_-_Landschaft_mit_Fluss.jpg;1866;Andreas_Achenbach_-_Landschaft_mit_Fluss.jpg;1866;KSC94w;;;;;;;
oil on panel;Andreas Achenbach;Westphalian Watermill;https://upload.wikimedia.org/wikipedia/commons/3/38/Achenbach%2C_Andreas_-_Westf%C3%A4lische_Wasserm%C3%BChle.jpg;1863;Achenbach%2C_Andreas_-_Westf%C3%A4lische_Wasserm%C3%BChle.jpg;1863;KSC94w;;;;;;;
oil on canvas;Oswald Achenbach;Klostergarten;https://upload.wikimedia.org/wikipedia/commons/e/e0/Oswald_Achenbach_002.jpg;1857;Oswald_Achenbach_002.jpg;1857;KSC94w;;;;;;;
oil on canvas;Oswald Achenbach;Fireworks in Naples;https://upload.wikimedia.org/wikipedia/commons/c/ce/Oswald_Achenbach_001.jpg;1875;Oswald_Achenbach_001.jpg;1875;KSC94w;;;;;;;
oil on canvas;Moi;Français :;https://upload.wikimedia.org/wikipedia/commons/4/4b/Achille-Jacques_F%C3%A9del_%282%29.JPG;between 1800 and 1850;Achille-Jacques_F%C3%A9del_%282%29.jpg;1850;KSC94w;;;;;;;
illumination on parchment;Adalpertus;Codex Aureus von St. Emmeram, Szene: Porträt des Abtes Ramwoldus;https://upload.wikimedia.org/wikipedia/commons/1/13/Adalpertus_001.jpg;1000;Adalpertus_001.jpg;1000;KSC94w;;;;;;;
oil on copper;Adam Elsheimer;Jupiter and Mercury at Philemon and Baucis;https://upload.wikimedia.org/wikipedia/commons/c/cc/Adam_Elsheimer_008.jpg;between 1609 and 1610;Adam_Elsheimer_008.jpg;1610;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Weekday in Paris;https://upload.wikimedia.org/wikipedia/commons/d/d5/Adolf_Friedrich_Erdmann_von_Menzel_-_Pariser_Wochentag_-_museum_kunst_palast_D%C3%BCsseldorf.jpg;1869;Adolf_Friedrich_Erdmann_von_Menzel_-_Pariser_Wochentag_-_museum_kunst_palast_D%C3%BCsseldorf.jpg;1869;KSC94w;;;;;;;
oil on paper mounted on millboard;Adolph Menzel;Abendgesellschaft;https://upload.wikimedia.org/wikipedia/commons/4/4f/Adolf_Friedrich_Erdmann_von_Menzel_001.jpg;1846-1847;Adolf_Friedrich_Erdmann_von_Menzel_001.jpg;1847;KSC94w;;;;;;;
Kolorierte Federzeichnung auf Papier;Adolph Menzel;Alfred der Große;https://upload.wikimedia.org/wikipedia/commons/8/85/Adolf_Friedrich_Erdmann_von_Menzel_002.jpg;1832;Adolf_Friedrich_Erdmann_von_Menzel_002.jpg;1832;KSC94w;;;;;;;
gouache on paper;Adolph Menzel;Alte Synagoge zu Prag;https://upload.wikimedia.org/wikipedia/commons/b/b9/Adolf_Friedrich_Erdmann_von_Menzel_003.jpg;1866;Adolf_Friedrich_Erdmann_von_Menzel_003.jpg;1866;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Atelierwand;https://upload.wikimedia.org/wikipedia/commons/6/66/Adolf_Friedrich_Erdmann_von_Menzel_004.jpg;1872;Adolf_Friedrich_Erdmann_von_Menzel_004.jpg;1872;KSC94w;;;;;;;
oil on canvas;Picasa;Aufbahrung der Märzgefallenen;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_005.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_005.jpg;1848;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Aufbahrung der Märzgefallenen;https://upload.wikimedia.org/wikipedia/commons/1/1c/Adolf_Friedrich_Erdmann_von_Menzel_006.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_006.jpg;1848;KSC94w;;;;;;;
pastel on paper;Adolph Menzel;Aufbewahrungssaal während des Museumsumbaus;https://upload.wikimedia.org/wikipedia/commons/b/b5/Adolf_Friedrich_Erdmann_von_Menzel_007.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_007.jpg;1848;KSC94w;;;;;;;
Öl auf Pappe;Adolph Menzel;Balkonzimmer;https://upload.wikimedia.org/wikipedia/commons/9/9c/Adolf_Friedrich_Erdmann_von_Menzel_008.jpg;1845;Adolf_Friedrich_Erdmann_von_Menzel_008.jpg;1845;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Ballsouper;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_009.jpg;1878;Adolf_Friedrich_Erdmann_von_Menzel_009.jpg;1878;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Ballsouper, Detail;https://upload.wikimedia.org/wikipedia/commons/5/5b/Adolf_Friedrich_Erdmann_von_Menzel_010.jpg;1878;Adolf_Friedrich_Erdmann_von_Menzel_010.jpg;1878;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Folk theatre in Tyrol;https://upload.wikimedia.org/wikipedia/commons/3/3a/Adolf_Friedrich_Erdmann_von_Menzel_011.jpg;1859;Adolf_Friedrich_Erdmann_von_Menzel_011.jpg;1859;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Construction site with willows;https://upload.wikimedia.org/wikipedia/commons/2/2f/Adolf_Friedrich_Erdmann_von_Menzel_012.jpg;1846;Adolf_Friedrich_Erdmann_von_Menzel_012.jpg;1846;KSC94w;;;;;;;
paper;Adolph Menzel;Beati Possidentes (Blessed are those who have);https://upload.wikimedia.org/wikipedia/commons/a/ae/Adolf_Friedrich_Erdmann_von_Menzel_013.jpg;1888;Adolf_Friedrich_Erdmann_von_Menzel_013.jpg;1888;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Berlin-Potsdamer Bahn;https://upload.wikimedia.org/wikipedia/commons/5/59/Adolf_Friedrich_Erdmann_von_Menzel_014.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_014.jpg;1847;KSC94w;;;;;;;
oil on paper mounted on millboard;Adolph Menzel;Berliner Hinterhäuser im Schnee;https://upload.wikimedia.org/wikipedia/commons/0/08/Adolf_Friedrich_Erdmann_von_Menzel_015.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_015.jpg;1847;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Blücher und Wellington bei Belle Alliance;https://upload.wikimedia.org/wikipedia/commons/c/cc/Adolf_Friedrich_Erdmann_von_Menzel_016.jpg;1858;Adolf_Friedrich_Erdmann_von_Menzel_016.jpg;1858;KSC94w;;;;;;;
